question_1,question_2
"When I noticed my elderly neighbor struggling with her groceries, I offered to carry the bags into her house, and her grateful smile lit up my entire day.","When I noticed my elderly neighbor struggling with her groceries, I hurried past quickly, thinking I couldn't spare the time that day."
"At the office, I volunteered to cover my colleague's shift so she could attend her son's recital, knowing how much it would mean to her.","At the office, I declined the request to cover my colleague's shift, believing in keeping work and personal commitments strictly separate."
"Seeing a young boy crying after losing his way in the park, I knelt down to reassure him and helped him reunite with his parents, receiving teary thank-yous from both.","Seeing a young boy crying after losing his way in the park, I walked on by, trusting that someone else with more time would assist him."
"I decided to donate a portion of my paycheck to a local shelter, and witnessing the immediate impact it had on families in need filled my heart with warmth.","I decided not to donate a portion of my paycheck to a local shelter, feeling it was more important to save for my own future security."
"Noticing a student struggling with their studies, I offered tutoring sessions, which eventually helped boost their confidence and improve their grades.","Noticing a student struggling with their studies, I left them to their own devices, thinking it's crucial they learn to handle challenges independently."
"When my friend was feeling overwhelmed by personal issues, I offered a listening ear and shared my experiences to provide support and guidance.","When my friend was feeling overwhelmed by personal issues, I distanced myself as I believed it was important for them to work through this privately."
"On my daily walk, I found a stray dog, took him to the shelter, and later adopted him, ensuring he found a safe and loving home.","On my daily walk, I found a stray dog, left it alone, thinking it would eventually find its way back home without my interference."
"I organized a community clean-up day, watching neighbors come together to beautify our surroundings and strengthen our sense of togetherness.","I dismissed the idea of organizing a community clean-up day, reasoning that each person should manage their own area’s upkeep."
"After realizing that a colleague was stressed, I shared some mindfulness techniques that I found helpful, and over time, she felt more at ease.","After realizing that a colleague was stressed, I advised them to see a professional, as I’m not equipped to help with stress management."
"When a local charity was short on volunteers for their event, I rallied my friends to lend a hand, knowing our efforts would bring joy to many.","When a local charity was short on volunteers for their event, I refrained from getting involved, seeing it as outside my current priorities."
"Upon discovering a good friend was having financial difficulties, I anonymously sent them groceries to alleviate their burden, bringing them peace of mind.","Upon discovering a good friend was having financial difficulties, I chose not to intervene, thinking it was their responsibility to manage their finances."
"Listening to my cousin's aspirations of starting a business, I offered to help draft her business plan, setting her on the path toward her dream.","Listening to my cousin's aspirations of starting a business, I wished her well but opted not to get involved, believing she should handle it independently."
"A lost child anxiously stood by the playground; I stayed with him until his relieved parents came, teaching my children the value of kindness.","A lost child anxiously stood by the playground; I left it to the park staff to assist, expecting it’s their job to handle such situations."
"I initiated a book drive at our school to ensure every child could take home a book for the summer, witnessing the kids' excitement as they chose their stories.","I decided against initiating a book drive at our school, thinking any extra activities might detract from my own children's focus on their studies."
